#Parameters = {ls=80; ws=30; h=1.6; wl=2; i=0.8; l1=15.30612244898; e=0.035; l2=14.75}
#"Frequency / GHz"	"S1,1 (l2=14.75) [Mag]"	"S1,1 (l2=14.75) [Pha in deg.]"	"Ref.Imp. [Mag]"	"Ref.Imp. [Pha in deg.]"
#-------------------------------------------------------------------------------------------------------------------
0.25999999046326	0.99843405662766	-6.0251898108018	50.000000000000	0.0000000000000
0.26399999856949	0.99830964477545	-6.1203305306629	50.000000000000	0.0000000000000
0.26800000667572	0.99818376869439	-6.2151046438079	50.000000000000	0.0000000000000
0.27200001478195	0.99805723082077	-6.3095104038940	50.000000000000	0.0000000000000
0.27599999308586	0.99793053400587	-6.4035459598262	50.000000000000	0.0000000000000
0.28000000119209	0.99780425287670	-6.4972152520560	50.000000000000	0.0000000000000
0.28400000929832	0.99767896263518	-6.5905220015875	50.000000000000	0.0000000000000
0.28799998760223	0.99755542617520	-6.6834731917717	50.000000000000	0.0000000000000
0.29199999570847	0.99743405482385	-6.7760792212032	50.000000000000	0.0000000000000
0.29600000381470	0.99731562073905	-6.8683500070047	50.000000000000	0.0000000000000
